feature_id,feature_name,syllable_class,pval,pval_fdr,significant
46,freq_proxy_left,11,0.266363689573154,0.419522811077717,False
46,freq_proxy_left,1,0.314242966845637,0.471364450268455,False
46,freq_proxy_left,12,0.0791260565810227,0.201028171109927,False
47,freq_proxy_right,11,0.764193971477543,0.830072762122158,False
47,freq_proxy_right,1,0.704951782144848,0.787773930041929,False
47,freq_proxy_right,12,0.153018906309861,0.313318214339697,False
64,max_angle_vel_proxy_left,11,0.698484051971436,0.787773930041929,False
64,max_angle_vel_proxy_left,1,0.105070041682731,0.238650623728229,False
64,max_angle_vel_proxy_left,12,0.0780931783614861,0.201028171109927,False
65,max_angle_vel_proxy_right,11,0.404803294916825,0.532519937517611,False
65,max_angle_vel_proxy_right,1,0.209071343403715,0.360557793223398,False
65,max_angle_vel_proxy_right,12,0.190083393273378,0.352213346359494,False
